zip,city,metro,median_home_value,fips
18974,Warminster,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",478101.97117488895,42017
30458,Statesboro,"Statesboro, GA",256184.689985864,13031
20170,Herndon,"Washington-Arlington-Alexandria, DC-VA-MD-WV",685072.5661381203,51059
77075,Houston,"Houston-The Woodlands-Sugar Land, TX",247947.09612729168,48201
31313,Hinesville,"Hinesville, GA",233873.64107759632,13179
44102,Cleveland,"Cleveland-Elyria, OH",124992.18270651008,39035
94066,San Bruno,"San Francisco-Oakland-Berkeley, CA",1256604.9694070194,06081
91748,Rowland Heights,"Los Angeles-Long Beach-Anaheim, CA",941492.1877142496,06037
27615,Raleigh,"Raleigh-Cary, NC",529095.2818425777,37183
21044,Columbia,"Baltimore-Columbia-Towson, MD",530418.2404965117,24027
14450,Fairport,"Rochester, NY",376170.10215376347,36055
97330,Corvallis,"Corvallis, OR",556944.0315699991,41003
28105,Matthews,"Charlotte-Concord-Gastonia, NC-SC",480049.3226104236,37119
11421,New York,"New York-Newark-Jersey City, NY-NJ-PA",725555.2885736361,36081
97202,Portland,"Portland-Vancouver-Hillsboro, OR-WA",607829.491061167,41051
85249,Chandler,"Phoenix-Mesa-Chandler, AZ",670393.4953697035,04013
34655,New Port Richey,"Tampa-St. Petersburg-Clearwater, FL",373026.8061138522,12101
77074,Houston,"Houston-The Woodlands-Sugar Land, TX",211953.40540016544,48201
2895,Woonsocket,"Providence-Warwick, RI-MA",373723.6646758166,44007
97302,Salem,"Salem, OR",453623.3325026809,41047
29579,Myrtle Beach,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",353056.5064744093,45051
58201,Grand Forks,"Grand Forks, ND-MN",305830.48104800336,38035
70737,Gonzales,"Baton Rouge, LA",285671.6539251925,22005
99504,Anchorage,"Anchorage, AK",343391.3968794447,
94116,San Francisco,"San Francisco-Oakland-Berkeley, CA",1429576.2109433855,06075
85205,Mesa,"Phoenix-Mesa-Chandler, AZ",399279.79983917094,04013
92688,Rancho Santa Margarita,"Los Angeles-Long Beach-Anaheim, CA",1001683.0754199824,06059
77471,Rosenberg,"Houston-The Woodlands-Sugar Land, TX",278931.0651551068,48157
64118,Gladstone,"Kansas City, MO-KS",258729.66378130185,29047
75063,Irving,"Dallas-Fort Worth-Arlington, TX",594894.3656853614,48113
84770,Saint George,"St. George, UT",475968.0855253883,49053
21042,Ellicott City,"Baltimore-Columbia-Towson, MD",781275.8189271176,24027
84401,Ogden,"Ogden-Clearfield, UT",432386.6291113717,49057
77042,Houston,"Houston-The Woodlands-Sugar Land, TX",268218.4632787193,48201
47905,Lafayette,"Lafayette-West Lafayette, IN",282414.59655896766,18157
94010,Hillsborough,"San Francisco-Oakland-Berkeley, CA",3175549.0066032694,06081
97701,Bend,"Bend, OR",599124.7228024335,41017
91765,Diamond Bar,"Los Angeles-Long Beach-Anaheim, CA",1003481.3002986256,06037
32224,Jacksonville,"Jacksonville, FL",447226.0620391376,12031
90024,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",1329511.0933102502,06037
50613,Cedar Falls,"Waterloo-Cedar Falls, IA",255237.14949920663,19013
13760,Endicott,"Binghamton, NY",194304.86166622196,36007
46385,Valparaiso,"Chicago-Naperville-Elgin, IL-IN-WI",358640.52054575196,18127
72756,Rogers,"Fayetteville-Springdale-Rogers, AR",336948.2221063311,05007
60707,Elmwood Park,"Chicago-Naperville-Elgin, IL-IN-WI",324694.3559156265,17031
99206,Spokane Valley,"Spokane-Spokane Valley, WA",408973.4056874914,53063
11217,New York,"New York-Newark-Jersey City, NY-NJ-PA",1542916.8572215356,36047
88240,Hobbs,"Hobbs, NM",189352.262356395,35025
43016,Dublin,"Columbus, OH",423442.78037703753,39049
60652,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",255352.11739789371,17031
95404,Santa Rosa,"Santa Rosa-Petaluma, CA",797118.8511160546,06097
98290,Snohomish,"Seattle-Tacoma-Bellevue, WA",821792.9788190398,53061
95991,Yuba City,"Yuba City, CA",395214.2531161153,06101
60047,Forest Lake,"Chicago-Naperville-Elgin, IL-IN-WI",621823.6791379363,17097
46514,Elkhart,"Elkhart-Goshen, IN",235155.33019136792,18039
72401,Jonesboro,"Jonesboro, AR",179929.21315447232,05031
28115,Mooresville,"Charlotte-Concord-Gastonia, NC-SC",400194.021263828,37097
45385,Xenia,"Dayton-Kettering, OH",245905.87534878333,39057
39401,Hattiesburg,"Hattiesburg, MS",139803.2587730202,28035
15237,Pittsburgh,"Pittsburgh, PA",343811.4265144907,42003
27127,Winston-Salem,"Winston-Salem, NC",253604.98724794504,37067
48212,Hamtramck,"Detroit-Warren-Dearborn, MI",125024.67607786995,26163
77389,Spring,"Houston-The Woodlands-Sugar Land, TX",500579.07625881286,48201
85051,Phoenix,"Phoenix-Mesa-Chandler, AZ",338254.65469655494,04013
76227,Aubrey,"Dallas-Fort Worth-Arlington, TX",359743.1712375312,48121
84604,Provo,"Provo-Orem, UT",592083.9509219415,49049
26003,Wheeling,"Wheeling, WV-OH",151462.23634001403,54069
70810,Baton Rouge,"Baton Rouge, LA",326003.028509897,22033
14215,Buffalo,"Buffalo-Cheektowaga, NY",138247.11008193457,36029
85283,Tempe,"Phoenix-Mesa-Chandler, AZ",446332.8572757379,04013
48038,Clinton Township,"Detroit-Warren-Dearborn, MI",281732.4892003291,26099
53218,Milwaukee,"Milwaukee-Waukesha, WI",156108.6972738668,55079
87112,Albuquerque,"Albuquerque, NM",312095.4188011135,35001
92102,San Diego,"San Diego-Chula Vista-Carlsbad, CA",711844.7117154533,06073
92308,Apple Valley,"Riverside-San Bernardino-Ontario, CA",405466.8769812925,06071
74014,Broken Arrow,"Tulsa, OK",295922.43922852236,40145
10801,New Rochelle,"New York-Newark-Jersey City, NY-NJ-PA",755476.9280052586,36119
49508,Kentwood,"Grand Rapids-Kentwood, MI",323645.0014881846,26081
46038,Fishers,"Indianapolis-Carmel-Anderson, IN",369019.50114938646,18057
95628,Fair Oaks,"Sacramento-Roseville-Folsom, CA",596826.6051885564,06067
14150,Tonawanda,"Buffalo-Cheektowaga, NY",242541.9885839125,36029
89149,Las Vegas,"Las Vegas-Henderson-Paradise, NV",493226.8984326236,32003
95050,Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA",1599708.8244983384,06085
78610,Buda,"Austin-Round Rock-Georgetown, TX",361041.9986048926,48209
20109,Manassas,"Washington-Arlington-Alexandria, DC-VA-MD-WV",447263.7526331437,51153
84005,Eagle Mountain,"Provo-Orem, UT",505690.81788635394,49049
91311,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",923151.193190132,06037
60610,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",362247.65083551995,17031
27502,Apex,"Raleigh-Cary, NC",559791.8813594239,37183
39110,Madison,"Jackson, MS",403566.21384242206,28089
77705,Beaumont,"Beaumont-Port Arthur, TX",133692.42215603215,48245
90007,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",861615.49037595,06037
94117,San Francisco,"San Francisco-Oakland-Berkeley, CA",1437029.7974540417,06075
34746,Campbell,"Orlando-Kissimmee-Sanford, FL",358952.2972425719,12097
84118,Kearns,"Salt Lake City, UT",443211.1011167082,49035
21221,Essex,"Baltimore-Columbia-Towson, MD",285016.4834169045,24005
73012,Edmond,"Oklahoma City, OK",325123.760475057,40109
92545,Hemet,"Riverside-San Bernardino-Ontario, CA",443785.9466753938,06065
98036,Lynnwood,"Seattle-Tacoma-Bellevue, WA",819221.5507420009,53061
33009,Hallandale,"Miami-Fort Lauderdale-Pompano Beach, FL",275939.15386676515,12011
30126,Mableton,"Atlanta-Sandy Springs-Alpharetta, GA",367237.7423746104,13067
80524,Fort Collins,"Fort Collins, CO",574083.1723129979,08069
77339,Houston,"Houston-The Woodlands-Sugar Land, TX",290644.0766371014,48201
98031,Kent,"Seattle-Tacoma-Bellevue, WA",658880.4289993703,53033
90806,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",764719.8761876215,06037
91360,Thousand Oaks,"Oxnard-Thousand Oaks-Ventura, CA",987236.4098799458,06111
1420,Fitchburg,"Worcester, MA-CT",386412.9079149159,25027
31061,Milledgeville,"Milledgeville, GA",236193.31714340416,13009
47909,Lafayette,"Lafayette-West Lafayette, IN",268946.42930118466,18157
6082,Enfield,"Hartford-East Hartford-Middletown, CT",317046.36083053635,
21502,Cumberland,"Cumberland, MD-WV",146869.8489444305,24001
90059,Willowbrook,"Los Angeles-Long Beach-Anaheim, CA",604532.0787071337,06037
90815,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",1019216.856817666,06037
78634,Hutto,"Austin-Round Rock-Georgetown, TX",338371.7576683608,48491
95826,Rosemont,"Sacramento-Roseville-Folsom, CA",460379.62376679666,06067
52302,Marion,"Cedar Rapids, IA",262999.04645154765,19113
98058,Renton,"Seattle-Tacoma-Bellevue, WA",717014.7707092823,53033
90501,Torrance,"Los Angeles-Long Beach-Anaheim, CA",966126.5452607276,06037
78415,Corpus Christi,"Corpus Christi, TX",168026.29019114372,48355
94566,Pleasanton,"San Francisco-Oakland-Berkeley, CA",1660627.697184012,06001
54701,Eau Claire,"Eau Claire, WI",338079.1968249916,55035
1085,Westfield,"Springfield, MA",369970.39523319056,25013
23323,Chesapeake,"Virginia Beach-Norfolk-Newport News, VA-NC",411131.5887948137,51550
84121,Cottonwood Heights,"Salt Lake City, UT",718811.3456535476,49035
85015,Phoenix,"Phoenix-Mesa-Chandler, AZ",331142.2807598982,04013
73071,Norman,"Oklahoma City, OK",218813.02518554585,40027
92867,Orange,"Los Angeles-Long Beach-Anaheim, CA",1200531.7500494942,06059
92236,Coachella,"Riverside-San Bernardino-Ontario, CA",425169.6786130376,06065
30189,Woodstock,"Atlanta-Sandy Springs-Alpharetta, GA",446494.7320520032,13057
72712,Bentonville,"Fayetteville-Springdale-Rogers, AR",497990.8944728491,05007
93552,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",489399.77754610823,06037
60188,Carol Stream,"Chicago-Naperville-Elgin, IL-IN-WI",367809.9844199689,17043
7307,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",729202.5356101412,34017
72758,Rogers,"Fayetteville-Springdale-Rogers, AR",446467.0143332204,05007
90278,Redondo Beach,"Los Angeles-Long Beach-Anaheim, CA",1372616.9705990425,06037
95205,Stockton,"Stockton, CA",322558.02612579265,06077
43017,Dublin,"Columbus, OH",560415.908472981,39049
85226,Chandler,"Phoenix-Mesa-Chandler, AZ",494127.3202262093,04013
55113,Roseville,"Minneapolis-St. Paul-Bloomington, MN-WI",360666.4406021394,27123
19401,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",260352.01720190037,42091
33619,Tampa,"Tampa-St. Petersburg-Clearwater, FL",280108.92022614816,12057
95926,Chico,"Chico, CA",422336.73653549614,06007
